time,IR
12.026, 641
12.046, 631
12.065, 647
12.085, 636
12.105, 626
12.126, 637
12.146, 632
12.167, 597
12.185, 613
12.206, 621
12.226, 611
12.247, 603
12.266, 584
12.287, 574
12.305, 570
12.326, 571
12.346, 711
12.367, 1171
12.387, 1908
12.406, 1882
12.426, 1481
12.446, 1091
12.467, 879
12.487, 752
12.508, 715
12.526, 716
12.547, 682
12.567, 700
12.588, 688
12.608, 708
12.627, 676
12.647, 678
12.668, 687
12.688, 668
12.709, 668
12.729, 632
12.748, 679
12.768, 699
12.789, 810
12.809, 978
12.828, 1393
12.849, 1979
12.868, 2468
12.889, 2723
12.909, 2884
12.929, 3149
12.949, 3523
12.969, 3903
12.989, 4318
13.010, 4851
13.029, 5611
13.050, 6411
13.069, 7242
13.090, 8129
13.110, 9024
13.129, 10392
13.151, 13076
13.169, 15940
13.190, 17334
13.210, 18522
13.231, 20099
13.249, 24820
13.270, 36982
13.290, 49178
13.311, 58648
13.331, 64065
13.350, 67496
13.370, 70052
13.391, 70093
13.411, 68370
13.430, 67603
13.450, 66569
13.472, 64563
13.492, 62589
13.510, 60297
13.531, 62007
13.551, 71052
13.572, 81065
13.592, 92569
13.611, 98831
13.631, 100937
13.652, 99598
13.672, 96151
13.691, 93713
13.711, 87896
13.732, 81871
13.752, 81653
13.772, 82547
13.792, 84113
13.813, 87158
13.833, 94718
13.853, 100457
13.872, 102950
13.892, 104018
13.913, 104268
13.933, 103615
13.952, 103124
13.972, 103028
13.993, 103129
14.014, 103198
14.033, 103277
14.053, 102909
14.074, 102331
14.094, 101900
14.113, 101688
14.133, 101624
14.153, 101427
14.174, 101313
14.193, 101361
14.214, 101540
14.234, 101788
14.253, 101794
14.273, 101568
14.294, 101433
14.314, 101334
14.334, 101356
14.354, 101346
14.375, 101204
14.395, 101009
14.414, 100808
14.434, 100657
14.455, 100584
14.475, 100517
14.493, 100518
14.514, 100538
14.535, 100460
14.556, 100363
14.574, 100145
14.595, 99881
14.615, 99604
14.636, 99379
14.656, 99203
14.675, 98940
14.695, 98660
14.716, 98457
14.736, 98491
14.755, 98548
14.775, 98514
14.796, 98408
14.816, 98266
14.835, 98088
14.856, 97902
14.876, 97891
14.897, 98118
14.917, 98302
14.936, 98482
14.956, 98520
14.977, 98506
14.997, 98749
15.016, 99170
15.036, 99448
15.057, 99750
15.077, 100168
15.098, 100348
15.117, 100282
15.138, 100349
15.158, 100513
15.179, 100744
15.197, 100985
15.217, 101073
15.238, 101010
15.256, 100981
15.277, 100958
15.298, 100796
15.319, 100626
15.337, 100623
15.358, 100780
15.378, 100855
15.399, 100763
15.417, 100576
15.438, 100407
15.458, 100374
15.479, 100464
15.498, 100492
15.518, 100421
15.539, 100237
15.559, 100095
15.578, 100026
15.598, 99959
15.619, 99874
15.639, 99828
15.658, 99814
15.679, 99827
15.700, 99902
15.720, 100014
15.741, 100060
15.759, 100011
15.780, 99885
15.800, 99731
15.821, 99574
15.839, 99546
15.859, 99573
15.880, 99415
15.900, 99239
15.919, 99112
15.939, 99101
15.960, 99215
15.980, 99336
16.001, 99334
16.020, 99202
16.041, 99009
16.061, 98869
16.082, 98774
16.100, 98736
16.121, 98699
16.141, 98582
16.162, 98415
16.182, 98275
16.200, 98271
16.221, 98363
16.241, 98438
16.262, 98576
16.280, 98623
16.301, 98669
16.321, 98675
16.342, 98668
16.362, 98632
16.382, 98641
16.402, 98548
16.423, 98466
16.443, 98425
